planet_name,host_name,alpha_used,alpha_source,xuv_cumulative_erg_cm2,integration_gyr,escape_metric,shoreline_side,shoreline_margin,method,source,age_gyr_used,age_source,mass_me_used,mass_source,vesc_kms,xuv_rel_earth,flare_frac,host_name_tessall
82 Eri d,82 Eri,-0.8,default FGK (Shibayama+2013),3.2599e+18,14.0,21.33,retain,1.54,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),14.0,star_age (exoplanet.eu/master),5.819,mass_sini lower limit (Mjup->Me),21.33,3.770e-01,0.00,82 Eri
HD 137010 b,HD 137010,-0.8,default FGK (Shibayama+2013),2.6532e+18,7.4,12.11,retain,0.65,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.4,star_age (exoplanet.eu/master),1.242,from radius (Zeng R^3.7 / Wolfgang+2016),12.11,3.068e-01,0.00,HD 137010
GJ 887 d,GJ 887,-0.73,default M (Medina+2020),4.7218e+19,2.9,21.7,boundary,0.41,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),2.9,star_age (exoplanet.eu/master),6.102,mass_sini lower limit (Mjup->Me),21.7,5.461e+00,0.00,GJ 887
LHS 1140 b,LHS 1140,-0.73,default M (Medina+2020),2.2944e+19,5.0,22.49,retain,0.79,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,star_age (exoplanet.eu/master),6.98,"measured mass (exoplanet.eu, Mjup->Me)",22.49,2.653e+00,0.00,LHS 1140
HD 85512 b,HD 85512,-0.8,default FGK (Shibayama+2013),1.2395e+19,5.61,1.48,escape,-3.68,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.61,star_age (exoplanet.eu/master),0.003,mass_sini lower limit (Mjup->Me),1.48,1.433e+00,0.00,HD 85512
Kapteyn's b,Kapteyn's Star,-0.73,default M (Medina+2020),2.8786e+19,5.0,1.64,escape,-3.86,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),0.005,mass_sini lower limit (Mjup->Me),1.64,3.329e+00,0.00,Kapteyn's Star
TRAPPIST-1 d,TRAPPIST-1,-0.73,default M (Medina+2020),1.4494e+20,7.6,8.18,escape,-1.77,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.6,star_age (exoplanet.eu/master),0.413,"measured mass (exoplanet.eu, Mjup->Me)",8.18,1.676e+01,0.00,TRAPPIST-1
TRAPPIST-1 e,TRAPPIST-1,-0.73,default M (Medina+2020),8.3961e+19,7.6,9.31,escape,-1.31,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.6,star_age (exoplanet.eu/master),0.636,"measured mass (exoplanet.eu, Mjup->Me)",9.31,9.710e+00,0.00,TRAPPIST-1
TRAPPIST-1 f,TRAPPIST-1,-0.73,default M (Medina+2020),4.8406e+19,7.6,8.94,escape,-1.14,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.6,star_age (exoplanet.eu/master),0.667,"measured mass (exoplanet.eu, Mjup->Me)",8.94,5.598e+00,0.00,TRAPPIST-1
TRAPPIST-1 g,TRAPPIST-1,-0.73,default M (Medina+2020),3.2757e+19,7.6,12.21,boundary,-0.43,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.6,star_age (exoplanet.eu/master),1.341,"measured mass (exoplanet.eu, Mjup->Me)",12.21,3.788e+00,0.00,TRAPPIST-1
Ross 318 b,Ross 318,-0.73,default M (Medina+2020),7.2883e+19,5.0,22.8,boundary,0.31,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),6.659,mass_sini lower limit (Mjup->Me),22.8,8.429e+00,0.00,Ross 318
GJ 3378 b,GJ 3378,-0.73,default M (Medina+2020),6.1981e+19,5.0,15.25,boundary,-0.32,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),2.288,mass_sini lower limit (Mjup->Me),15.25,7.168e+00,0.00,GJ 3378
