planet_name,host_name,alpha_used,alpha_source,xuv_cumulative_erg_cm2,integration_gyr,escape_metric,shoreline_side,shoreline_margin,method,source,age_gyr_used,age_source,mass_me_used,mass_source,vesc_kms,xuv_rel_earth,flare_frac,host_name_tessall
Kepler-1652 b,Kepler-1652,-0.73,default M (Medina+2020),4.9923e+19,3.2,18.05,boundary,0.07,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),3.2,star_age (exoplanet.eu/master),4.172,from radius (Zeng R^3.7 / Wolfgang+2016),18.05,5.773e+00,0.00,Kepler-1652
Kepler-186 f,Kepler-186,-0.73,default M (Medina+2020),1.6530e+19,4.0,13.76,boundary,0.08,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),4.0,star_age (exoplanet.eu/master),1.764,from radius (Zeng R^3.7 / Wolfgang+2016),13.76,1.912e+00,0.00,Kepler-186
Kepler-442 b,Kepler-442,-0.8,default FGK (Shibayama+2013),6.0941e+18,2.9,16.69,retain,0.85,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),2.9,star_age (exoplanet.eu/master),2.995,from radius (Zeng R^3.7 / Wolfgang+2016),16.69,7.048e-01,0.00,Kepler-442
Kepler-452 b,Kepler-452,-0.8,default FGK (Shibayama+2013),9.7305e+18,6.0,18.04,retain,0.78,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),6.0,star_age (exoplanet.eu/master),4.226,from radius (Zeng R^3.7 / Wolfgang+2016),18.04,1.125e+00,0.00,Kepler-452
Kepler-62 e,Kepler-62,-0.8,default FGK (Shibayama+2013),1.0469e+19,7.0,52.77,retain,2.61,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.0,star_age (exoplanet.eu/master),35.915,"measured mass (exoplanet.eu, Mjup->Me)",52.77,1.211e+00,0.00,Kepler-62
Kepler-62 f,Kepler-62,-0.8,default FGK (Shibayama+2013),3.7028e+18,7.0,55.65,retain,3.16,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.0,star_age (exoplanet.eu/master),34.961,"measured mass (exoplanet.eu, Mjup->Me)",55.65,4.282e-01,0.00,Kepler-62
HD 216520 c,HD 216520,-0.8,default FGK (Shibayama+2013),1.1052e+19,6.0,25.38,retain,1.32,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),6.0,star_age (exoplanet.eu/master),9.44,mass_sini lower limit (Mjup->Me),25.38,1.278e+00,0.00,HD 216520
Ross 508 b,Ross 508,-0.73,default M (Medina+2020),8.5197e+19,5.0,18.59,boundary,-0.11,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),3.97,mass_sini lower limit (Mjup->Me),18.59,9.853e+00,0.00,Ross 508
K2-3 d,K2-3,-0.73,default M (Medina+2020),4.7663e+19,1.0,15.22,boundary,-0.21,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),1.0,star_age (exoplanet.eu/master),2.8,"measured mass (exoplanet.eu, Mjup->Me)",15.22,5.512e+00,0.00,K2-3
LP 890-9 c,LP 890-9,-0.73,default M (Medina+2020),1.1466e+20,7.2,48.12,retain,1.41,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.2,star_age (exoplanet.eu/master),25.299,"measured mass (exoplanet.eu, Mjup->Me)",48.12,1.326e+01,0.02,LP 890-9
KOI-4878 b,KOI-4878,-0.8,default FGK (Shibayama+2013),9.0996e+18,5.0,11.8,boundary,0.07,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),1.157,from radius (Zeng R^3.7 / Wolfgang+2016),11.8,1.052e+00,0.00,KOI-4878
GJ 1002 b,GJ 1002,-0.73,default M (Medina+2020),4.5399e+19,5.0,11.65,escape,-0.65,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),1.081,mass_sini lower limit (Mjup->Me),11.65,5.250e+00,0.00,GJ 1002
GJ 1002 c,GJ 1002,-0.73,default M (Medina+2020),1.7409e+19,5.0,12.65,boundary,-0.09,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),1.36,mass_sini lower limit (Mjup->Me),12.65,2.013e+00,0.00,GJ 1002
Wolf 1069 b,Wolf 1069,-0.73,default M (Medina+2020),4.3755e+19,5.0,12.3,escape,-0.54,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),1.259,mass_sini lower limit (Mjup->Me),12.3,5.060e+00,0.00,Wolf 1069
TOI-700 e,TOI-700,-0.73,default M (Medina+2020),5.6508e+19,1.5,10.48,escape,-0.93,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),1.5,star_age (exoplanet.eu/master),0.837,from radius (Zeng R^3.7 / Wolfgang+2016),10.48,6.535e+00,0.00,TOI-700
TOI-715 b,TOI-715,-0.73,default M (Medina+2020),4.7054e+19,6.2,18.07,boundary,0.1,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),6.2,star_age (exoplanet.eu/master),4.044,from radius (Zeng R^3.7 / Wolfgang+2016),18.07,5.442e+00,0.00,TOI-715
HN Lib b,HN Lib,-0.73,default M (Medina+2020),3.2808e+19,4.4,20.98,retain,0.51,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),4.4,star_age (exoplanet.eu/master),5.559,mass_sini lower limit (Mjup->Me),20.98,3.794e+00,0.00,HN Lib
GJ 433 d,GJ 433,-0.73,default M (Medina+2020),6.6919e+19,5.0,20.11,boundary,0.13,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),4.939,mass_sini lower limit (Mjup->Me),20.11,7.739e+00,0.00,GJ 433
GJ 367 d,GJ 367,-0.73,default M (Medina+2020),7.6791e+19,5.0,21.6,boundary,0.19,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),6.029,mass_sini lower limit (Mjup->Me),21.6,8.881e+00,0.00,GJ 367
Teegarden's b,Teegarden's,-0.73,default M (Medina+2020),1.3854e+20,8.0,11.95,escape,-1.09,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),8.0,star_age (exoplanet.eu/master),1.16,mass_sini lower limit (Mjup->Me),11.95,1.602e+01,0.00,Teegarden's
Teegarden's c,Teegarden's,-0.73,default M (Medina+2020),4.4889e+19,8.0,11.52,escape,-0.66,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),8.0,star_age (exoplanet.eu/master),1.049,mass_sini lower limit (Mjup->Me),11.52,5.191e+00,0.00,Teegarden's
K2-296 b,K2-296,-0.73,default M (Medina+2020),6.4778e+19,5.0,17.95,boundary,-0.05,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),4.819,from radius (Zeng R^3.7 / Wolfgang+2016),17.95,7.491e+00,0.00,K2-296
Proxima Centauri b,Proxima Centauri,-0.94,measured (RECOMP FFD fit),4.4465e+19,5.0,11.61,escape,-0.65,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),1.071,mass_sini lower limit (Mjup->Me),11.61,5.142e+00,0.01,Proxima Centauri
HD 48948 c,HD 48948,-0.73,default M (Medina+2020),3.0115e+19,5.0,21.98,retain,0.63,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),6.331,mass_sini lower limit (Mjup->Me),21.98,3.483e+00,0.00,HD 48948
GJ 1061 c,GJ 1061,-0.73,default M (Medina+2020),1.6738e+20,7.0,13.82,escape,-0.92,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.0,star_age (exoplanet.eu/master),1.739,mass_sini lower limit (Mjup->Me),13.82,1.936e+01,0.00,GJ 1061
GJ 1061 d,GJ 1061,-0.73,default M (Medina+2020),7.5829e+19,7.0,13.32,escape,-0.64,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.0,star_age (exoplanet.eu/master),1.57,mass_sini lower limit (Mjup->Me),13.32,8.769e+00,0.00,GJ 1061
K2-288 Bb,K2-288 B,-0.73,default M (Medina+2020),1.3612e+19,1.0,18.01,retain,0.63,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),1.0,star_age (exoplanet.eu/master),4.415,from radius (Zeng R^3.7 / Wolfgang+2016),18.01,1.574e+00,0.00,K2-288 B
Kepler-1410 Ab,Kepler-1410 A,-0.8,default FGK (Shibayama+2013),4.3024e+19,1.3,17.98,boundary,0.13,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),1.3,star_age (exoplanet.eu/master),4.604,from radius (Zeng R^3.7 / Wolfgang+2016),17.98,4.976e+00,0.00,Kepler-1410 A
Kepler-296 Ae,Kepler-296 A,-0.73,default M (Medina+2020),4.4344e+19,4.37,18.08,boundary,0.12,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),4.37,star_age (exoplanet.eu/master),3.981,from radius (Zeng R^3.7 / Wolfgang+2016),18.08,5.128e+00,0.00,Kepler-296 A
Kepler-296 Af,Kepler-296 A,-0.73,default M (Medina+2020),1.9477e+19,4.37,17.97,boundary,0.47,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),4.37,star_age (exoplanet.eu/master),4.658,from radius (Zeng R^3.7 / Wolfgang+2016),17.97,2.252e+00,0.00,Kepler-296 A
