name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,discovered_by,simbad,GSC,openexoplanet,Title,Authors,Journal,URL,E_max_method,E_max_1yr_erg,ICRS,RAH,RAM,RAS,DECS,DECH,DECM,DECS.1,Aspot_u,Prot,Parallaxes(mas),data sourse,TIC,star_distance_source,star_distance_match,star_distance_source_detail,nasa_pl_tranmid,nasa_pl_tranmiderr1,nasa_pl_tranmiderr2,nasa_tran_flag,nasa_ttv_flag,nasa_pl_trandep,nasa_pl_trandeperr1,nasa_pl_trandeperr2,nasa_pl_trandur,nasa_pl_trandurerr1,nasa_pl_trandurerr2,nasa_pl_imppar,nasa_pl_impparerr1,nasa_pl_impparerr2,nasa_pl_ratdor,nasa_pl_ratdorerr1,nasa_pl_ratdorerr2,nasa_pl_ratror,nasa_pl_ratrorerr1,nasa_pl_ratrorerr2,nasa_pl_occdep,nasa_pl_orbincl,nasa_pl_orbinclerr1,nasa_pl_orbinclerr2,nasa_rowupdate,nasa_pl_pubdate,nasa_match_method,nasa_match_name,nasa_match_score,exokyoto_source,exokyoto_source_detail,Abstract,verification_status,revision_note
ASol e(2000MY),Confirmed,0.000338064,,,,,,0.047505,,,686.98,,,1.5236623,,,0.093,,,,,,,-2000,1991-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mars,,Young Sun(2000MY),0,0,,,,,,0,0,0,0.0122,,,1,,,1,,,G2V,4.57,,,5778,,,,,,,,,,,,0,0,,,,,,,,,,,0.0003,27,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol e(3000MY),Confirmed,0.000338064,,,,,,0.047505,,,686.98,,,1.5236623,,,0.093,,,,,,,-2000,1991-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mars,,Sun(3000MY),0,0,,,,,,0,0,0,0.0122,,,1,,,1,,,G2V,4.57,,,5778,,,,,,,,,,,,0,0,,,,,,,,,,,0.0003,27,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol e(4000MY),Confirmed,0.000338064,,,,,,0.047505,,,686.98,,,1.5236623,,,0.093,,,,,,,-2000,1991-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mars,,Sun(4000MY),0,0,,,,,,0,0,0,0.0122,,,1,,,1,,,G2V,4.57,,,5778,,,,,,,,,,,,0,0,,,,,,,,,,,0.0003,27,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol f(500MY),Confirmed,1,,,1,,,1,,,4332.589,,,5.203363,,,0.048,,,,,,,-2000,1991-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiter,,Young Sun(500MY),0,0,,,,,,0,0,0,0.0122,,,1,,,1,,,G2V,4.57,,,5778,,,,,,,,,,,,0,0,,,,,,,,,,,0.0003,27,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol f(1000MY),Confirmed,1,,,1,,,1,,,4332.589,,,5.203363,,,0.048,,,,,,,-2000,1991-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiter,,Young Sun(1000MY),0,0,,,,,,0,0,0,0.0122,,,1,,,1,,,G2V,4.57,,,5778,,,,,,,,,,,,0,0,,,,,,,,,,,0.0003,27,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol f(2000MY),Confirmed,1,,,1,,,1,,,4332.589,,,5.203363,,,0.048,,,,,,,-2000,1991-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiter,,Young Sun(2000MY),0,0,,,,,,0,0,0,0.0122,,,1,,,1,,,G2V,4.57,,,5778,,,,,,,,,,,,0,0,,,,,,,,,,,0.0003,27,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol f(3000MY),Confirmed,1,,,1,,,1,,,4332.589,,,5.203363,,,0.048,,,,,,,-2000,1991-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiter,,Sun(3000MY),0,0,,,,,,0,0,0,0.0122,,,1,,,1,,,G2V,4.57,,,5778,,,,,,,,,,,,0,0,,,,,,,,,,,0.0003,27,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol f(4000MY),Confirmed,1,,,1,,,1,,,4332.589,,,5.203363,,,0.048,,,,,,,-2000,1991-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiter,,Sun(4000MY),0,0,,,,,,0,0,0,0.0122,,,1,,,1,,,G2V,4.57,,,5778,,,,,,,,,,,,0,0,,,,,,,,,,,0.0003,27,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol g(500MY),Confirmed,0.2994,,,,,,0.843003413,,,10759.22,,,9.53707032,,,0.054,,,,,,,-2000,1991-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturn,,Young Sun(500MY),0,0,,,,,,0,0,0,0.0122,,,1,,,1,,,G2V,4.57,,,5778,,,,,,,,,,,,0,0,,,,,,,,,,,0.0003,27,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol g(1000MY),Confirmed,0.2994,,,,,,0.843003413,,,10759.22,,,9.53707032,,,0.054,,,,,,,-2000,1991-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturn,,Young Sun(1000MY),0,0,,,,,,0,0,0,0.0122,,,1,,,1,,,G2V,4.57,,,5778,,,,,,,,,,,,0,0,,,,,,,,,,,0.0003,27,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
