host_name,planet_name,B_gauss,Prot_d,Prot_conf,r_A_au,a_over_rA,regime,Hu_bin,method,source
HD 137010,HD 137010 b,15.0,6.5882697605689415,,0.3416111979343206,2.5760279678220384,super,M1C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K3 scaling
HD 216520,HD 216520 b,8.0,35.0,,0.1323210949935498,1.496360047577084,borderline,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K0V scaling
HD 216520,HD 216520 c,8.0,35.0,,0.1323210949935498,3.990293460205557,super,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K0V scaling
HD 283869,HD 283869 b,15.0,14.0,,0.1012677682148698,3.949924117526522,super,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Folsom+2018 K3 scaling
HD 40307,HD 40307 b,10.0,48.0,,0.1470846435831988,0.3229432987892546,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K2V scaling
HD 40307,HD 40307 c,10.0,48.0,,0.1470846435831988,0.5520630707723678,borderline,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K2V scaling
HD 40307,HD 40307 d,10.0,48.0,,0.1470846435831988,0.911040042900213,borderline,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K2V scaling
HD 40307,HD 40307 e,10.0,48.0,,0.1470846435831988,1.2822548663505982,borderline,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K2V scaling
HD 40307,HD 40307 f,10.0,48.0,,0.1470846435831988,1.689503363139574,borderline,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K2V scaling
HD 40307,HD 40307 g,10.0,48.0,,0.1470846435831988,4.079283774180058,super,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K2V scaling
HD 48948,HD 48948 c,12.219861398084497,82.17248422646057,,2.5668934409602056,0.0760062715836845,sub,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:b_star_from_prot (canonical L142-175): unsaturated_scaling; P_rot=82.17248422646057; sp=K3 V
HD 85512,HD 85512 b,10.0,47.1,,0.0813516437751527,3.19600180075786,super,M1C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K6V scaling
